faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP; Environmental Engineering focus,https://www.une.edu.au/about-une/faculty-of-science-agriculture-business-and-law/school-of-environmental-and-rural-science/study-areas/engineering
Science,9537,3,Cluster 3 CSP,https://www.une.edu.au/about-une/faculty-of-science-agriculture-business-and-law/school-of-science-and-technology
Business,17399,3,Cluster 1 CSP,https://www.une.edu.au/about-une/faculty-of-science-agriculture-business-and-law/unebs
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.une.edu.au/about-une/faculty-of-humanities-arts-social-sciences-and-education
Medicine,13558,5,Cluster 4 CSP; JMP with UON 5yr,https://www.une.edu.au/about-une/faculty-of-medicine-and-health
Law,17399,4,Cluster 1 CSP,https://www.une.edu.au/about-une/faculty-of-science-agriculture-business-and-law/school-of-law
Education,4738,4,Cluster 2 CSP,https://www.une.edu.au/about-une/faculty-of-humanities-arts-social-sciences-and-education/school-of-education
IT & Computing,9537,3,Cluster 2 CSP,https://www.une.edu.au/about-une/faculty-of-science-agriculture-business-and-law/school-of-science-and-technology
Health Sciences,9537,3,Cluster 2 CSP,https://www.une.edu.au/about-une/faculty-of-medicine-and-health
Creative Arts,9537,3,Cluster 2 CSP,https://www.une.edu.au/about-une/faculty-of-humanities-arts-social-sciences-and-education
